Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Kuwait,KWT,750184,1051187,1384342,1735320,2058832,1637031,1929470,1990022,2042215,2095993,2166344,2263604,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689,3753121,3892115,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,2959900,3292400,3617400,3990300,4391200,4560400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5957000,..
"Population, total",SP.POP.TOTL,Lao PDR,LAO,2686025,3047864,3252701,3680145,4247839,4857774,5342879,5424701,5502340,5579003,5658894,5745012,5838837,5939634,6045439,6153153,6260544,6366909,6473050,6579985,6689300,6802023,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2359164,2456130,2511701,2578873,2663151,2485056,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1978440,..
"Population, total",SP.POP.TOTL,Lebanon,LBN,2297403,2575693,2605294,2676593,2703019,3033406,3235380,3359875,3522842,3701464,3863271,3986865,4057041,4085426,4109389,4181742,4337156,4591698,4924257,5286990,5612096,5850743,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,1032240,1149090,1307403,1467856,1597534,1753824,1856225,1871489,1885488,1898778,1912042,1925844,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061,2109197,2135022,..
"Population, total",SP.POP.TOTL,Liberia,LBR,1419728,1628656,1892529,2197442,2102877,2079921,2891968,2998770,3070673,3124222,3184643,3269786,3384804,3522337,3672782,3821498,3957990,4079574,4190155,4293692,4396554,4503438,..
"Population, total",SP.POP.TOTL,Libya,LBY,2114264,2621730,3191304,3840635,4398419,4878202,5337264,5428303,5518341,5609166,5703224,5801543,5907149,6017794,6123022,6208680,6265697,6288652,6283403,6265987,6258984,6278438,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,21266,23435,25869,27259,28745,30833,33282,33663,33995,34290,34569,34852,35141,35431,35721,36004,36276,36537,36791,37040,37286,37531,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3139689,3301652,3413202,3544543,3697838,3629102,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2910199,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,339171,358950,364150,366706,381850,408625,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569676,..
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,250997,248213,246236,296222,359735,398459,431907,438088,444178,450754,458579,468149,479728,493022,507274,521405,534626,546682,557763,568056,577914,587606,..
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1720798,1803009,1924194,1981532,1996227,1953544,2012051,2021585,2028706,2033974,2038444,2042894,2047330,2051427,2055266,2058920,2062443,2065888,2069270,2072543,2075625,2078453,..
"Population, total",SP.POP.TOTL,Madagascar,MDG,6576301,7575757,8746516,9981113,11545782,13452526,15744811,16235767,16736029,17245275,17763367,18290394,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557,23571713,24235390,..
"Population, total",SP.POP.TOTL,Malawi,MWI,4603739,5292816,6163225,7205635,9408998,9822812,11193230,11491824,11788731,12090476,12407618,12747846,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126,16695253,17215232,..
"Population, total",SP.POP.TOTL,Malaysia,MYS,10908634,12311782,13833739,15764340,18211097,20725374,23420751,23920963,24401977,24869423,25332026,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,30331007,..
"Population, total",SP.POP.TOTL,Maldives,MDV,115703,136434,158282,189551,218000,255000,286000,292000,297000,304000,312000,321000,333000,349000,362000,360000,367000,377000,385000,393000,401000,409163,..
"Population, total",SP.POP.TOTL,Mali,MLI,5949043,6482276,7090125,7831891,8482075,9640643,11046926,11376094,11723017,12088867,12474857,12881384,13309942,13759226,14223403,14694565,15167286,15639115,16112333,16592097,17086022,17599694,..
"Population, total",SP.POP.TOTL,Malta,MLT,302650,304222,316645,336452,354170,370433,381363,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,419455,423374,427364,431333,..
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,20397,25580,30581,38334,47300,51020,52161,52184,52161,52115,52074,52058,52080,52136,52221,52321,52428,52541,52663,52786,52898,52993,..
"Population, total",SP.POP.TOTL,Mauritania,MRT,1148908,1328687,1534085,1766855,2023665,2333966,2711421,2796502,2884672,2974686,3064882,3154087,3241762,3328285,3414552,3501927,3591400,3683221,3777067,3872684,3969625,4067564,..
"Population, total",SP.POP.TOTL,Mauritius,MUS,826000,892000,966039,1020528,1058775,1122457,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,..
"Population, total",SP.POP.TOTL,Mexico,MEX,52029859,60872399,69330974,77322643,85609404,94426946,102808590,104239563,105578297,106888418,108257822,109747906,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109,125385833,127017224,..
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,61433,63146,72967,85689,96331,107556,107430,107170,106983,106816,106575,106198,105680,105080,104472,103961,103619,103476,103516,103718,104044,104460,..
"Population, total",SP.POP.TOTL,Moldova,MDA,3044000,3251000,3396000,3570000,3696000,3675099,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554150,..
"Population, total",SP.POP.TOTL,Monaco,MCO,23484,25201,26746,28836,29438,30700,32081,32364,32648,32960,33339,33808,34384,35046,35731,36351,36845,37189,37404,37528,37623,37731,..
"Population, total",SP.POP.TOTL,Mongolia,MNG,1278825,1479650,1689622,1921885,2184145,2298038,2397438,2419729,2443503,2469045,2496621,2526447,2558484,2592776,2629666,2669572,2712657,2759074,2808339,2859174,2909871,2959134,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,512407,546487,572608,605398,606372,611712,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622388,..
"Population, total",SP.POP.TOTL,Morocco,MAR,16039600,17854614,20071902,22596133,24950128,27161889,28950553,29250983,29535591,29812685,30093109,30385479,30691434,31011322,31350544,31714958,32107739,32531964,32984190,33452686,33921203,34377511,..
"Population, total",SP.POP.TOTL,Mozambique,MOZ,9262078,10405000,11936379,13102982,13371971,15913101,18264536,18792357,19348715,19928496,20523159,21126676,21737860,22359637,22994867,23647815,24321457,25016921,25732928,26467180,27216276,27977863,..
"Population, total",SP.POP.TOTL,Myanmar,MMR,27166045,30640635,34470694,38508821,42007309,44710931,47669791,48195684,48689952,49151958,49582751,49984704,50355559,50698814,51030006,51369725,51733013,52125411,52543841,52983829,53437159,53897154,..
"Population, total",SP.POP.TOTL,Namibia,NAM,780386,905647,1012761,1149389,1415447,1654214,1897953,1931005,1957749,1980531,2002745,2027026,2053915,2083174,2115703,2152357,2193643,2240161,2291645,2346592,2402858,2458830,..
"Population, total",SP.POP.TOTL,Nauru,NRU,6493,7070,7488,8174,9157,9970,10042,10053,10073,10096,10113,10115,10101,10075,10047,10028,10025,10043,10079,10125,10176,10222,..
"Population, total",SP.POP.TOTL,Nepal,NPL,11986974,13313487,14890080,16714335,18741688,21390905,23740145,24140941,24516969,24868900,25198130,25506847,25794344,26063619,26325183,26592666,26875910,27179237,27500515,27834981,28174724,28513700,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,13038526,13666335,14149800,14491632,14951510,15459006,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16936520,..
"Population, total",SP.POP.TOTL,New Caledonia,NCL,112000,132500,140050,154450,170899,193816,213230,217324,221490,225000,228000,231000,235000,238000,242000,245000,250000,254000,259000,263000,268000,273000,..
"Population, total",SP.POP.TOTL,New Zealand,NZL,2810700,3083100,3112900,3247100,3329800,3673400,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,..
"Population, total",SP.POP.TOTL,Nicaragua,NIC,2398095,2796748,3249910,3709091,4144564,4612229,5026792,5100750,5171736,5240876,5309703,5379327,5450217,5522119,5594524,5666595,5737722,5807787,5877034,5945646,6013913,6082032,..
"Population, total",SP.POP.TOTL,Niger,NER,4497355,5171029,5963159,6838170,7911884,9361912,11224523,11642308,12075991,12526725,12996012,13485436,13995530,14527631,15085130,15672194,16291990,16946485,17635782,18358863,19113728,19899120,..
"Population, total",SP.POP.TOTL,Nigeria,NGA,56131844,63565598,73698096,83901570,95617345,108424822,122876723,126014935,129246283,132581484,136033321,139611303,143318011,147152502,151115683,155207145,159424742,163770669,168240403,172816517,177475986,182201962,..
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,13203,15232,17048,30341,43972,57518,68434,68817,68499,67562,66143,64372,62235,59791,57343,55276,53860,53234,53314,53869,54541,55070,..
"Population, total",SP.POP.TOTL,Norway,NOR,3875763,4007313,4085620,4152516,4241473,4359184,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5195921,..
"Population, total",SP.POP.TOTL,Oman,OMN,723850,882044,1154375,1498416,1812159,2191864,2239403,2272547,2323203,2385075,2448194,2506891,2553376,2593750,2652281,2762073,2943747,3210003,3545192,3906912,4236057,4490541,..
"Population, total",SP.POP.TOTL,Pakistan,PAK,58094239,66791496,78071984,92165065,107607639,122599749,138250487,141282077,144271586,147251530,150267989,153356383,156524189,159767672,163096985,166520983,170043918,173669648,177392252,181192646,185044286,188924874,..
"Population, total",SP.POP.TOTL,Palau,PLW,11481,12280,12197,13698,15089,17255,19174,19404,19575,19700,19805,19907,20012,20118,20227,20344,20470,20606,20756,20919,21097,21291,..
"Population, total",SP.POP.TOTL,Panama,PAN,1519293,1745207,1978575,2219276,2471010,2738125,3028751,3086887,3144728,3202511,3260611,3319301,3378600,3438398,3498679,3559401,3620506,3681979,3743761,3805683,3867535,3929141,..
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,2434755,2809692,3215483,3677854,4157903,4715929,5374051,5512835,5653284,5795571,5940048,6086905,6236158,6387470,6540267,6693799,6847517,7001172,7154870,7308864,7463577,7619321,..
"Population, total",SP.POP.TOTL,Paraguay,PRY,2474102,2790964,3180628,3671826,4213740,4760853,5302703,5406625,5508615,5607948,5703742,5795493,5882797,5966160,6047131,6127847,6209877,6293763,6379162,6465669,6552518,6639123,..
"Population, total",SP.POP.TOTL,Peru,PER,13341071,15229951,17359118,19544950,21826658,24038761,25914875,26261363,26601463,26937737,27273188,27610406,27949958,28292768,28642048,29001563,29373644,29759891,30158768,30565461,30973148,31376670,..
"Population, total",SP.POP.TOTL,Philippines,PHL,35804731,41295129,47396966,54323651,61947340,69835713,77932247,79604541,81294378,82971734,84596249,86141373,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676,99138690,100699395,..
"Population, total",SP.POP.TOTL,Poland,POL,32664300,34015199,35574150,37201885,38110782,38594998,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37999494,..
"Population, total",SP.POP.TOTL,Portugal,PRT,8680431,9093470,9766312,10023613,9983218,10026176,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10348648,..
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,2718000,2994000,3206000,3377000,3537000,3683103,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721526,3678736,3634487,3593079,3534888,3474182,..
"Population, total",SP.POP.TOTL,Qatar,QAT,109329,164333,223715,371071,476478,501019,593453,613720,634388,668165,732096,836924,988448,1178955,1388962,1591151,1765513,1905437,2015624,2101288,2172065,2235355,..
"Population, total",SP.POP.TOTL,Romania,ROM,20250398,21293583,22242653,22755427,23201835,22684270,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19832389,..
"Population, total",SP.POP.TOTL,Russian Federation,RUS,130404000,134200000,139010000,143858000,148292000,148375726,146596557,145976083,145306046,144648257,144067054,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819569,144096812,..
"Population, total",SP.POP.TOTL,Rwanda,RWA,3754546,4359166,5140786,6117966,7259740,5912755,8021875,8329113,8539029,8686469,8828956,9008230,9231041,9481083,9750314,10024594,10293669,10556429,10817350,11078095,11341544,11609666,..
"Population, total",SP.POP.TOTL,Samoa,WSM,143175,151383,155554,160030,162865,170158,174614,175567,176592,177677,178794,179928,181072,182238,183440,184700,186029,187434,188901,190390,191845,193228,..
"Population, total",SP.POP.TOTL,San Marino,SMR,19136,19732,21363,22708,24045,25875,27420,27771,28142,28520,28891,29242,29568,29874,30160,30431,30690,30938,31172,31391,31595,31781,..
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,74251,82607,94953,103557,113575,125694,137164,140003,143085,146357,149732,153146,156584,160064,163595,167196,170880,174646,178484,182386,186342,190344,..
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,5836394,7428705,9912917,13361284,16361453,18853670,21392273,22007937,22668102,23357887,24055573,24745230,25419994,26083522,26742842,27409491,28090647,28788438,29496047,30201051,30886545,31540372,..
"Population, total",SP.POP.TOTL,Senegal,SEN,4217754,4900491,5568651,6438024,7514201,8710746,9860578,10118078,10389457,10673320,10967016,11268994,11578430,11897230,12229703,12581624,12956791,13357003,13780108,14221041,14672557,15129273,..
"Population, total",SP.POP.TOTL,Serbia,SRB,..,..,..,..,7586000,7625357,7516346,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7098247,..
